Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
BD1200001,,4.0,5.0,,,,4.25,7.0,7.75,,,2.0,N1,BinhDinh
BD1200002,,7.0,6.25,6.0,6.25,6.5,,,,,,5.2,N1,BinhDinh
BD1200003,,5.2,5.75,,,,5.75,7.25,9.25,,,4.6,N1,BinhDinh
BD1200004,,7.6,6.25,7.0,6.5,4.5,,,,,,6.2,N1,BinhDinh
BD1200005,,8.6,6.5,4.0,7.25,5.5,,,,,,8.4,N1,BinhDinh
BD1200006,,5.0,4.25,,,,3.25,3.75,4.75,,,3.0,N1,BinhDinh
BD1200007,,7.8,5.25,5.25,6.25,6.0,,,,,,5.2,N1,BinhDinh
BD1200008,,7.4,5.0,5.25,6.5,7.5,,,,,,5.6,N1,BinhDinh
BD1200009,,7.0,5.5,6.25,6.0,3.75,5.0,7.0,6.0,,,3.2,N1,BinhDinh
BD1200010,,6.0,6.0,4.25,2.75,3.25,4.5,6.75,6.25,,,4.0,N1,BinhDinh
BD1200011,,7.8,4.25,3.25,6.75,4.5,,,,,,7.8,N1,BinhDinh
BD1200012,,6.2,5.75,4.25,4.5,5.0,5.5,6.75,8.5,,,4.2,N1,BinhDinh
BD1200013,,2.8,5.0,,,,2.75,,,,,,,BinhDinh
BD1200014,,4.2,4.0,3.25,2.75,2.75,4.0,5.75,7.25,,,3.2,N1,BinhDinh
BD1200015,,5.0,4.5,,,,2.75,5.0,6.5,,,4.2,N1,BinhDinh
BD1200016,,7.2,4.75,7.0,7.0,4.5,,,,,,5.8,N1,BinhDinh
BD1200017,,6.2,6.25,6.25,6.25,4.0,,,,,,3.8,N1,BinhDinh
BD1200018,,5.0,7.25,4.5,5.75,4.75,,,,,,6.6,N1,BinhDinh
BD1200019,,5.8,3.5,2.75,2.75,4.25,3.0,5.0,5.75,,,2.4,N1,BinhDinh
BD1200020,,7.8,7.75,5.5,6.5,6.25,,,,,,7.2,N1,BinhDinh
BD1200021,,3.4,4.25,,,,2.75,5.5,4.5,,,4.2,N1,BinhDinh
BD1200022,,2.0,3.25,,,,4.25,5.25,5.5,,,3.4,N1,BinhDinh
BD1200024,,6.0,5.75,5.25,4.5,3.5,,,,,,5.6,N1,BinhDinh
BD1200025,,2.4,1.0,,,,2.5,2.5,3.5,,,2.6,N1,BinhDinh
BD1200026,,3.2,3.75,,,,3.5,3.5,5.5,,,3.0,N1,BinhDinh
BD1200027,,5.4,5.0,,,,3.75,6.25,8.0,,,5.4,N1,BinhDinh
BD1200028,,5.4,6.0,,,,5.0,6.75,7.25,,,5.8,N1,BinhDinh
BD1200029,,6.6,4.25,3.5,3.25,3.5,4.25,7.0,8.0,,,3.0,N1,BinhDinh
BD1200030,,5.4,4.5,5.5,3.25,3.5,4.25,3.5,7.75,,,5.2,N1,BinhDinh
BD1200031,,7.8,6.0,5.75,7.25,5.5,,,,,,5.2,N1,BinhDinh
BD1200032,,4.4,6.25,,,,5.25,7.5,6.75,,,5.4,N1,BinhDinh
BD1200033,,8.6,5.25,7.75,8.0,4.75,,,,,,6.0,N1,BinhDinh
BD1200034,,5.0,6.0,3.5,4.25,4.25,3.0,6.25,9.0,,,4.0,N1,BinhDinh
BD1200035,,7.0,5.75,,,,6.0,7.5,7.75,,,3.2,N1,BinhDinh
BD1200036,,4.6,6.0,,,,4.25,5.75,8.0,,,2.8,N1,BinhDinh
BD1200037,,6.8,6.25,6.0,6.75,4.25,,,,,,3.8,N1,BinhDinh
